news_headline,news_firstline,rating,news_article
Nobody review – Bob Odenkirk betters John Wick in fun action caper,The Better Call Saul star gets a furiously entertaining star vehicle playing a suburban father who finds himself up against the Russian mob,4,"For any vaguely fit actor over the age of 50, being given your own Taken was briefly seen as an enviable career boost, a chance to relive former glories, a slickly choreographed leap from an early Hollywood grave back to the sandlot. Ever since Liam Neeson swapped emoting for punching back in 2008, Kevin Costner, Sean Penn, John Travolta, Pierce Brosnan and Guy Pearce all tried to do the same but audiences wisely stayed away from their sub-par shoot-em-ups and execs were forced to realise that, duh, it’s the star rather than the sub-genre that people are magnetically drawn to. Because Neeson’s shtick was continuing to bring in solid crowds while his peers were flailing and in 2014, Keanu Reeves found a similar sweet spot with John Wick, kicking off a hugely profitable new series with a Taken-adjacent combination of simple action plot and much-loved actor.With a burning desire for some of that Wick cash (the three films in total have made over $550m worldwide with a spin-off and TV series also planned), Universal has teamed up with the film’s writer Derek Kolstad to crack open what’s clearly hoped to be a new low-budget, high-profit action universe. This time the choice of lead is based less on conventional desirability and more on unconventional durability with Better Call Saul’s Bob Odenkirk as an unassuming suburban dad hiding a dark past in Nobody, a furiously entertaining thriller that, for me, worked far more effectively than any of Keanu’s outings, a bit more character thrown in to cushion the many broken bones.The unusual career of Odenkirk, who in his 50s has experienced an unlikely transformation from “oh that guy” character actor to Emmy-nominated lead of a hit show, makes him a compelling action hero, confident enough to command yet with a skillset that’s more extensive and more versatile than just pure physicality. He plays the improbably named Hutch Mansell, a milquetoast everyman whose daily routine has grown as tired as his chilly marriage. When his house is set upon by a couple of low-rent thieves, he’s set on a mission to right a wrong, revealing an adeptness for violence that’s been kept far away from his family.It’s a film cooked up from some overly familiar ingredients (as well as the blood and bullets, there’s challenged masculinity, the Russian mob, a cute pet, some noirish voiceover etc) yet Kolstad, along with Hardcore Henry director Ilya Naishuller on vibrant form, finds a way to make it all feel oddly vital. There’s a simple, shaggy charm to watching Hutch rediscover his particular set of skills, kicked off by a fantastically well-designed bus sequence that sees him scrappily take on a group of obnoxious younger men. He’s an imperfect yet resilient fighter, believably hampered by age, making him a character far more thrilling to watch than say, any one of Neeson’s no-stakes superheroes.The escalation that follows which dominoes one good deed into one savage fight into something far greater helps Nobody avoid the storytelling-by-numbers trap that so many revenge films often fall into, mimicking a video game with the hero going from one end-of-level boss to the next. The fight scenes are also awfully effective, a jolt of brutal violence captured with a specificity that allows us to keep up with every punch and kick, a base-level competency that so many action films fail to master. Perhaps the film’s greatest ace is its relative lack of smugness, Kolstad’s script briskly racing ahead without wasting time to stand back and remark on how smart and ironic it all is, quips kept to a minimum, a lesson other action screenwriters could do with learning.Odenkirk is a surprisingly physically adept anchor and while sure, the trope of a man only really being a man when he embraces his violent side is … not great, he tries his best to work around the regressive nature of the genre, turning Hutch into a man somewhat earnestly trying to figure out the right balance of alpha and beta. There’s little to do for Connie Nielsen as his confused wife but Christopher Lloyd gets to have some fun as his gun-toting father and along with RZA as his equally armed brother, there’s an intriguing little family dynamic that will probably be explored in the inevitable sequel (Nobodies, perhaps?).It’s all very been here, seen that yet there’s something infinitely pleasing about a film doing very little but doing it very well, knowing just how high to aim without aiming any higher, aware of exactly what it can and can’t do. In a tight 91 minutes, without any bloat, Nobody gives us exactly what we want.Nobody is out in US cinemas on 26 March with a UK release in June"
Nemesis review – geezer cliche compilation with a charisma bypass,The Bill’s Billy Murray is a cockney hardman whose ordeal of a family dinner party gets inflicted on us too in this terrible thriller ,1,"If Towie put out a crime special it might look a bit like this shoddy London thriller about an ageing gangster whose plans for a peaceful retirement go south. The characters have that same style of stiff, awkward delivery, as if they’re speaking lines to each other over a dodgy Zoom link.The star is TV mainstay Billy Murray (The Bill and EastEnders) who plays John Morgan, a gang boss with the telltale mahogany suntan of a cockney hardman done good. Morgan, semi-retired in Turkey, flies into London on a private jet for a charity fundraiser. But on the night there’s a spot of bovver with an old foe, alcoholic detective Frank Conway (Nick Moran). Morgan and his wife Sadie (Jeanine Nerissa Sothcott) have also arranged a dinner to meet their Instagram influencer daughter’s new girlfriend – and there’s a horrifically sleazy scene when the girlfriend arrives early to find Sadie wearing only knickers.Murray plays villain Morgan with the menace of a bag of spinach wilting soggily at the back of the fridge – it’s almost as if his contract has stipulated a charisma bypass is a condition for the part. And everything is let down by the script, which feels cobbled together from geezerish cliches. “You’re like a British bulldog,” an associate growls at Morgan. “You’re proud, defiant, tenacious, old-school. But there comes a time in every animal’s life when it needs to be put down.”In the third act, the family dinner party turns into a home invasion nightmare that is an ordeal for all the wrong reasons. Meanwhile, copper Conway is downing whiskies in a gentrified East End boozer, getting all riled up for revenge. A twist at the end of the meal is ludicrous. In cockney rhyming slang, this is pony and trap. Nemesis is released on 29 March on digital platforms."
The Banishing review – Jessica Brown Findlay shines in standard spooker,The Downton Abbey actor holds together Christopher Smith’s increasingly silly Essex haunted-house horror,3,"“An empire of misogyny” is how former Irish president Mary McAleese described the Catholic church – and Christianity as a historical perpetrator of sexism and violence against women adds an interesting-ish layer or two to this otherwise run-of-the-mill but well-acted haunted-house horror. It’s set in the runup to the second world war and loosely inspired by Borley Rectory, the country manor once dubbed “the most haunted house in England”.Downton Abbey’s Jessica Brown Findlay is terrific as Marianne, a vicar’s wife with a rebellious streak (her bohemian “loose woman” past becomes crucial later). Marianne has just moved into a crumbling pile in the Essex countryside with her wet blanket husband Linus (John Heffernan) and their young daughter Adelaide (Anya McKenna-Bruce). The local bishop Malachi (John Lynch), a man who wears the huge gold cross around his neck like gangster’s bling, is clearly not to be trusted. And pretty soon things are going clank in the night.The film’s scares feel pretty standard, with nothing new to add to the gothic haunted house canon. Marianne hears voices wailing in the walls; her daughter finds a creepy Victorian doll with gaping black holes where its eyes have been gouged out. Nevertheless, director Christopher Smith turns the screws with malevolent precision: scenes in which Marianne and little Adelaide see their doppelgangers reflected in a mirror are genuinely unnerving, as are Marianne’s violent hallucinations.It all gets very silly, and there’s a naff go-nowhere storyline involving Nazis. But Brown Findlay holds it together with her performance of Marianne as the sort of woman who marches no-nonsense into the dark basement brandishing a torch to take on the ghosts of mad monks. The Banishing is released on 26 March on digital platforms."
Feedback review – Eddie Marsan thriller on the wrong frequency,Marsan plays a lefty radio presenter under siege – but there is an awful lot of unconvincing plot and incongruous violence here,1,"This contrived, nasty and uninteresting horror-thriller is a waste of its star Eddie Marsan. He plays Jarvis Dolan, a late-night radio presenter of lefty views, sort of like James O’Brien, with a bit of Piers Morgan’s provocation. His career is in crisis, having only just survived a kidnapping from a shadowy group of Brexity rightwing extremists. The station’s oleaginous boss Norman (a cameo from Anthony Head) insists that Jarvis now lightens the broadcasting mood by getting reunited with his old double-act partner, Andrew Wilde (played by Peaky Blinders’ Paul Anderson), a boozy, jokey wild man that Jarvis can’t stand these days. But hardly have they got together for their first show than they are attacked by terrifying masked individuals who lock them in the studio, forcing them to stay on the air, because they are obsessed with a certain something in Jarvis and Andrew’s past.All the buildup turns out to be tiringly irrelevant to the attack itself, which revolves around an event from 10 years ago, in circumstances that don’t seem at all convincing for people who are supposed to be late-night radio presenters, not rock stars. The movie is supposed to deliver claustrophobic tension and thrills, a little like Assault on Precinct 13, perhaps.But there is a weird lack of plausible plot involvement, and also a disconcerting amount of implausible plot development. Who would have thought that a radio studio actually had a sort of trapdoor in the side leading to possible escape from the building? And then there are flourishes of horrible violence that don’t mesh with the rest of the film. You might find yourself tuning out. Feedback is released on 26 March on digital platforms."
Killing Escobar review – the hard men behind  plot to kill drug lord,Mercenaries Peter McAleese and David Tomkins tell the story and backstory behind their contract on the Colombian kingpin,3,"Here’s a documentary that shines a light on squalid corner of British post-imperial legacy: the batches of mercenaries – largely former military personnel – who roamed the world’s trouble spots in the 70s and 80s, killing for hire in numerous civil conflicts in Africa and Latin America. (As this film suggests, these ex-SAS types weren’t politically neutral: they were actively keen on killing communists in places like Angola and Rhodesia.)The film focuses on an escapade that is – ethically speaking – a little less murky than cold war Africa: a plot to assassinate the super-powerful Colombian drug lord Pablo Escobar in the late 1980s. However, since it was organised at the behest of another super-powerful Colombian drug lord, any claims to the moral high ground are not really supportable.The principal interviewees here are Peter McAleese, a former paratrooper who grew up in Glasgow and was responsible for the military activities of the assassination squad, and the somewhat more dapper David Tomkins, the man who organised the contracts and who by his own account moved enormous amounts of arms into conflict zones.McAleese and Tomkins relate the story of their mission efficiently enough. We know it is doomed to fail, as history tells us Escobar was shot dead a few years later, in 1993, by a Colombian police unit. Presumably to crank up the narrative tension, director David Whitney adds a series of reconstruction-flashback scenes of McAleese, alone and injured in the Colombian rainforest. With little signposting, they slow down the film’s momentum, even if we eventually learn where they fit in in the bigger scheme of things. It all seems rather affable until a shipment of weapons turns up: the gun lust on show underscores the abhorrent nature of the enterprise.Rather like a veteran ex-football hooligan, McAleese is heroically frank about his propensity for violence as he fills in his backstory, offering up as evidence his rough Glaswegian upbringing next door to Barlinnie prison (he points out the cell window from which his hardman father would signal when he was doing time). On some level, McAleese’s scorn for his former self is a reasonably creditable attempt to confront the consequences of the destruction he has caused, even if there is an evasiveness about the way he focuses on failings in his personal life rather than his victims, in Africa or elsewhere. At 79, he’s still a scary individual. Killing Escobar is out now on digital platforms."
The War with Grandpa review – De Niro slums in delayed ex-Weinstein farce,The two-time Oscar winner sleepwalks through a throwaway family film about duelling relatives that also wastes Uma Thurman and Christopher Walken,2,"For a film as cursed as family comedy The War with Grandpa, shot back in 2017 then sidelined and sold as a result of Harvey Weinstein’s downfall, it’s a very minor victory to report that rather than being bad, it’s merely bland, an adequate milquetoast time-waster for a very young and very undiscerning audience. What makes that description slightly harder to stomach is the unusually stacked cast – two-time Oscar winner Robert De Niro, Oscar winner Christopher Walken, Oscar nominee Uma Thurman – whose combined star power gently lifts rather than carries a film that’s leagues beneath them.It’s glumly become the sort of sleepwalk role we now expect of De Niro, an actor with an ever-diminishing batting average, whose note-perfect performance in last year’s The Irishman was more exception than rule. He’s returning to the titular role of Grandpa, after shagging and swearing his way through Dirty Grandpa, to play a PG-rated technology-hating, wife-grieving cipher of a man whose latest misadventure (stealing food after losing his cool with a supermarket self-checkout – groan) has his daughter (Thurman) insist that he comes to stay with her family. But a shortage of rooms means that he has to turf grandson Peter (Oakes Fegley) out of his bed, sending him to the attic, leading to a farcical, yet low-stakes, battle of escalating pranks.Based on the book by Robert Kimmel Smith, there’s a decent kernel of an idea here and the script, from writing partners Tom J Astle and Matt Ember, briefly flirts with something more substantial, at least in the first act. An unmoored and displaced grandparent is understandably reluctant to allow himself to be taken care of and there are a few quiet moments, nicely played by De Niro, that show a man struggling to find his place in a world without his wife. But by the third time we see him pick up a framed photo of his dearly departed, we start realising that creativity is in short supply along with characterisation and the film falls into a repetitive back-and-forth between the duelling relatives.It’s slickly made by longtime family film director Tim Hill and there’s a decent enough budget to give it a sheen so often missing from its streaming equivalents but there’s no amount of gloss that can distract from its one-note vacuity, something even its high-wattage cast can’t fix. There’s no longer any novelty in seeing De Niro goof around in a series of slapstick scenarios and instead, it’s rather depressing especially given the lack of ingenuity on display here (he accidentally flashes his son-in-law twice). He’s as bored as we are and while Thurman gives it a bit more effort, it’s also embarrassing to see her act the clown for a film as rote and unnecessary as this. Watching them, along with Walken, trudge their way through this kind of slop, all one can hope is that their paycheques were worth it and that their upcoming slates allow for some swift redemption.Even when a film is aimed at such a young, undemanding audience, there are still ways to elevate but Astle and Ember keep things base-level, defiantly ignoring the enjoyment of anyone over the age of 12 and giving those within its target demographic very little that feels unique or even vaguely amusing. The “war” at its centre is too benign to register, each prank dumber than the last, and the whole film is scuppered by a major plot hole: that somehow despite loud, property-destroying acts of aggression, no one else in the family notices their feud until the very end.The fact that The War with Grandpa finally dragged itself off from the shelf is something of a win but now that we’re able to see it, the real loser is us.The War with Grandpa is now out in cinemas in the US with a UK date to be announced"
Creation Stories review – mythmaking and megalomania in likable Alan McGee biopic,Irvine Welsh’s cracking adaption of an autobiography by the ‘President of Pop’ flashes from My Bloody Valentine to his discovery of Oasis,3,"“I’m talentless. But I make things happen.” That’s record label supremo Alan McGee speaking. It’s not remotely true: his taste is his talent. In the 80s and 90s, McGee put out records by the Jesus and Mary Chain, My Bloody Valentine, Primal Scream and Teenage Fanclub. Now comes a biopic: a lairy, likable film directed by Lock Stock actor Nick Moran.Creation Stories is co-written by McGee’s mate Irvine Welsh and Dean Cavanagh, who have adapted McGee’s 2013 autobiography. And it’s the cracking script that is the star here, giving McGee just enough working-class gobshite cheekiness (“I’m just a wee ginger tool from Glasgow”) to balance out the myth-making and megalomania. (This is a man who had a sign on his desk that read: “President of Pop”.)McGee said in a recent interview that he vetoed Ewan McGregor playing him in the film because the actor is too good looking. Instead, the role went to another, less Hollywood Trainspotting alumnus, Ewen Bremner, whose portrayal is spot-on. There’s a brilliant scene where the bailiffs come knocking at the offices of McGee’s label Creation Records. He is on the phone trying to stave off creditors: “I’ve got a new band. They’re gonna be bigger than U2.” It’s total rubbish, but he uses the line again and again – and in the end it comes true.In 1993, McGee discovers Oasis at King Tut’s in Glasgow. Welsh’s script hilariously downplays this life-changing signing: McGee is only at the venue because he missed a train to London, while Oasis – total unknowns – are not even on the bill, but blag their way on stage. (“It’ll give the DJ 20 minutes for a shite,” says the venue’s manager.) The actors playing bands in the Creation stable look the part – the Gallagher brothers may have been cast for their eyebrows alone – but don’t get much screen time.In flashbacks, Leo Flanagan does a good job playing McGee as a teenager. Transformed by watching the Sex Pistols on TV he starts a band in his bedroom with a mate from school, Bobby Gillespie (later of Primal Scream). Director Moran doesn’t go too deep, not dwelling on the beatings heaped on McGee by his dad, or the nine months he spent getting clean in 1994. This can leave the characters feeling a bit two-dimensional, but the inspired chaos feels right.In another terrific scene, McGee bursts into a studio where My Bloody Valentine are recording Loveless – an album that took so long to record it almost bankrupted Creation. After the band has McGee ejected by security, he kicks off and ends up in the back of a police car ranting about frontman Kevin Shields (“that money-spunking mad genius”).In 1992, McGee sold 49% of Creation to Sony, and later nudged Britpop into bed with Tony Blair, before becoming disillusioned with New Labour in power. Blair is played here as smarmy and insincere; Cherie is sharper, but Alastair Campbell will surely be unhappy with the portrayal of him gormlessly toe-tapping away to the house-lite election anthem Things Can Only Get Better. And can it really be true that McGee left Chequers in horror at Jimmy Savile being a dinner guest all the way back in 1999? Creation Stories is available on Sky Cinema from 20 March. This article was amended on 25 March 2021. The actor playing the young Alan McGee is Leo Flanagan, not Liam as originally stated."
Russian Raid review – hostile takeover of screens in steroidal martial arts actioner,Hooligans are up to all sorts of impish mayhem in this rote action flick apparently modelled on The Raid,2,"Russia’s hooligan set will have a new Friday-night post-pub favourite with this martial arts film, modelled on Gareth Evans’s The Raid. In a literal hostile takeover, former Spetsnaz sniper Nikita (Ivan Kotik) leads a squad of tracksuited casuals into a vodka factory/mafia front on behalf of a shady businessmen (Ilya Antonenko) looking to seize it – but he also has a personal beef with the owner.For reasons half-explained, the squad are forbidden from carrying guns, and the chief heavy (played by real-life MMA fighter Vladimir Mineev) chafes against Nikita’s command from the off. They work their way up through the factory’s security to the C-suite, with much fisticuffs, mostly in the fashionable MMA style – with heavy emphasis on grappling and backhanded slaps that look prissy but probably aren’t. The standout is a corridor-hemmed brawl against three juggernauts wielding a host of medieval weaponry, with director Denis Kryuchkov often keeping us locked in with the combatants with swaying, reeling Steadicam.But introducing firearms halfway through, when the factory’s true owners enter the fray, works to somehow lower the stakes. As more parties become involved, the already poorly defined relationships between the characters become get more confusing – including what white-suited secretary (Sofya Ozerova) is doing there other than providing openings for misogynistic jeopardy. (She’s given an empowering assault rifle later.)The initial tone of impish mayhem shifts into something grim and rote, ill-serving frontman Kotik. Interestingly lithe, aloof and not overly macho, he has obvious star chops – breaking out in some fights into footwork drawn from the Russian folk dancing he does in one childhood flashback. “Balletic” used to be the adjective of choice for John Woo’s action films, and Kotik is clearly primed to deliver this in material that is more than this steroid party. Russian Raid is released on 22 March on digital platforms."
Artes Mundi review – around the world in richly absorbing art,"From lush Dominican political surrealism to black US history and a Japanese tragedy revisited, the Welsh biennial shortlist sweeps the globe – online and over three venues in Cardiff",0,"Artes Mundi is a biennial exhibition crowned with an award (at £40,000 the largest art prize in Britain). It has brought international art to Wales since 2004 and has a reputation for pitch-perfect judgment. Previous winners have included the American art star Theaster Gates and the Ghanaian-born filmmaker John Akomfrah, whose beautiful two-screen elegy for migrants won the seventh edition. On 15 March the ninth edition will open to the world online, and from May it is scheduled to open across three galleries to Cardiff visitors in person. The winner will be announced on 14 April.The global sweep this time reaches from Puerto Rico to India, and from South Africa to Japan. The best-known name by some way is the veteran African American photographer Carrie Mae Weems (born 1953), so famous she appears as herself in Spike Lee’s Netflix adaptation of She’s Gotta Have It. The younger artists include Prabhakar Pachpute, born in Maharashtra in 1986, and Firelei Báez from the Dominican Republic, barely 40 but already the recipient of several awards for her paintings. Indeed the six-strong shortlist arrives heavily pre-garlanded.Weems’s work appears both within and without the gallery walls. Above the entrance to the Chapter arts centre hangs a larger-than-life image of black people holding hands, along with an exhortation not to worry because we’ll all be doing it again once the pandemic is over. Inside are further photographs of humanity, the size of billboards, pressing forward in arresting unanimity.At the National Museum of Wales, you can see photographs from Weems’s celebrated Constructing History series, in which students, who were not yet born at the time, act out tragic tableaux from US history. From the mourning of Martin Luther King to the assassinations of JFK and Malcolm X, these scenes are instantly recognisable and yet remote as nativity plays from our sense of what actually happened. All we can do is keep trying to remember – and, perhaps, to look closer at the over-used image.This is the point of Repeating the Obvious, an installation that presents the same photograph – of an African American youth in a hoodie – 39 times over in different sizes. You can’t quite make him out, in the shadowy blue mugshot. But heck, runs the sardonic unspoken caption, aren’t they all the same in any case?Firelei Báez is also concerned with black history, specifically that of the Caribbean. Her canvases, vast and small, operate a kind of prose-poetry double-take. She reproduces existing images – maps, floor plans, documentary photographs, the covers of controversial books on slavery and race – and overpaints them with wildly gestural visions.So the black-and-white photograph of a sinister US institute for forced labour bursts into neon flames. An old imperial map showing the uncharted Atlantic, complete with antique ships and absolutely no sense of geography, is dominated by a magnificent quasi-mythological female creature of fur and feathers, palms and ferns, rearing up out of the waves.The impulse is didactic, but the visions are gorgeous flights of fantasy: a kind of late-flowering political surrealism. Báez is an inventor of fictions to fell racists and bureaucrats. I look forward to seeing more of her work.If you detect a theme, here, it certainly continues with the slow and mildly hypnotic films of the Puerto Rican artist Beatriz Santiago Muñoz (born 1972). But Muñoz is more tuned to melancholy. The sadness of the seas, the lone fisherman, the submerged history of oppressed islanders: all are fluidly connected in her film installation.Artes Mundi’s digital presentation gives too little sense of the lush complexities of Muñoz’s work, with its ethno-eco-political interleafings. But so it is, alas, with configurations of objects, projectors and multiple screens in darkened rooms. And I’ve no doubt that the array of objects in South African-born multimedia artist Dineo Seshee Bopape’s installation – a grass mat, a folded Welsh blanket, heaps of wood ash – carry a presence in reality unavailable from images. But anyone who has seen her works with soil and brick know that they have a strong sculptural grace.Bopape (born 1981) has covered the walls with small landscapes worked in washes of soil and clay from Africa, America and Britain. There are obvious allusions to the mud paintings of Richard Long, and to landscape art the world over. But her medium has a political undercurrent: this earth comes from sites linked to the history of the transatlantic slave trade.Prabhakar Pachpute works on an enormous scale, his drawings starting on stretches of loose canvas and migrating across the gallery walls. Desolate landscapes peopled by machines and monsters, solitary heroes fighting unseen forces, a gigantic fist rising out of parched earth: his visions are dark and knotted, with overtones of Bosch, Brueghel and the stop-motion drawings of William Kentridge, especially in the reference to the depredations of coal and mineral mining in India.Pachpute uses charcoal, chalk and even coal, and his draughtsmanship has a terrific graphic force. The more you come across his works, the more you realise that they are accumulating into a new kind of Indian epic.The Japanese artist Meiro Koizumi (born 1976) is showing one of his most haunting works: a video triptych called Angels of Testimony, which centres on the devastating crimes perpetrated by Japanese soldiers upon the Chinese in the Second Sino-Japanese War (1937-45). The central screen homes in on the face of a 99-year-old former soldier who can scarcely speak, attempting to remember his crimes. These emerge slowly, in a growing welter of tears.On either side of him, Japanese youths repeat his words in a kind of tragic chorus, some in a studio, others outdoors in the indifferent Tokyo streets.There is an obvious parallel with Weems’s Constructing History series, but here it is as though the horrors of history are disappearing out of reach; they cannot quite be remembered by the old, nor entirely grasped by the young. Koizumi is an immensely subtle dramatist of voice and image. You can get some sense of the sheer range of his theatrical projects from the artist’s own website. And likewise, until the galleries reopen, it is well worth visiting the rich, profound and intensely absorbing art of the biennial shortlist online. Online from 15 March at artesmundi.org, then at National Museum of Wales, Chapter and g39 Cardiff, from May (precise dates tbc) to 5 Sep"
Judas and the Black Messiah review – truly gripping Black Panther drama,Daniel Kaluuya and Lakeith Stanfield give award-worthy performances as party leader Fred Hampton and the man who betrayed him,4,"In the Oscar-tipped current release The United States vs Billie Holiday, a federal agent with deeply divided loyalties is dispatched to infiltrate and undermine a powerful voice of civil rights. That scenario is echoed in this superior “Inspired By True Events” drama from director and co-writer Shaka King, in which Lakeith Stanfield plays a petty car thief strong-armed into spying on prominent Black Panther leader Fred Hampton, charismatically portrayed by dead-cert Oscar contender Daniel Kaluuya.“A badge is scarier than a gun,” explains William O’Neal (Stanfield) when he’s arrested for impersonating an FBI agent to steal a flashy ride. “It’s like you got a whole damn army behind you.” Instead, he now has agent Roy Mitchell (Jesse Plemons) on his case, offering him a choice between several years in prison or becoming an informant. At the specific instruction of J Edgar Hoover (Martin Sheen, sporting Dracula-like makeup), the bureau has set its sights on Hampton, who is forging allegiances with a rainbow coalition of partners (“rednecks and Puerto Ricans!”) as the Panthers’ influence expands.With no avowed political beliefs beyond self-preservation, O’Neal seems the perfect tool to wrangle his way into the party and report on its inner workings. As he rises within the ranks, becoming security captain of the local Illinois chapter and bodyguard to Hampton, Hoover wants to use him “more creatively”. Yet O’Neal’s own affiliations are becoming ever more blurred, with his fears of being revealed as an informer intertwined with what appears to be a growing sympathy for Hampton’s revolutionary proclamations. As Mitchell observes after watching O’Neal at a fiery Panthers meeting: “Either this guy deserves an Academy Award or he believes this shit.”Just how much the real-life O’Neal bought into the Panthers’ rhetoric remains a matter of debate. Watching the full unedited footage of his 1989 interview for the PBS documentary Eyes on the Prize II (fragments of which are restaged) it’s clear that he liked and admired Hampton and felt both “bad” and “betrayed” by his role in his downfall. Yet he also looked up to Mitchell, whom he called a “role model”, and was enamoured of the FBI, which he viewed as entirely distinct from the vicious Chicago Police.It’s a credit to Stanfield that he manages to keep these complex contradictions alive throughout his performance, capturing perfectly the uneasy manner that O’Neal exhibited on camera, his eyes darting anxiously as he attempts to read his surroundings, his manner a mix of fearful, furtive and oddly forceful. By contrast, Kaluuya’s Hampton is steadfast and determined; inspirational in public, unexpectedly shy in person. Physically bulked up but often softly spoken, he’s a fully rounded character into whom Kaluuya injects empathy and a touch of magic. No wonder O’Neal is so taken with him, even when the Panthers’ Maoist teachings leave him cold. For all of Hampton’s incendiary speeches about killing “pigs” and dying for the revolution (Mitchell calls the Panthers and the Klan two sides of the same coin), it’s the free breakfasts for kids and healthcare programmes for the community that inspire the “poet” in Kaluuya’s character. There are echoes of the tenderness of If Beale Street Could Talk in the growing relationship between Fred and Deborah Johnson, played with guileless warmth by Bafta-nominee Dominique Fishback.Craig Harris and Mark Isham work in musical harmony with Sean Bobbitt’s gorgeous cinematography, providing suspicious melancholy chords, angular percussion and prowling double bass riffs that intertwine with the action. Meanwhile, Sam Lisenco, Jeremy Woolsey and Rebecca Brown ensure that the production design draws us deep into the period setting. It all adds up to a gripping drama that intersects fleetingly with that overpraised awards favourite The Trial of the Chicago 7 (in the sketched spectre of a bound Bobby Seale, the Black Panther co-founder), but feels altogether more substantial and satisfying. Judas and the Black Messiah is on streaming services"
Winner: Observer/Anthony Burgess prize for arts journalism 2021 – Harry Strawson on Mati Diop's In My Room,"This year’s winner enjoys Diop’s compelling lockdown film for Miu Miu, filmed entirely from her 24th-floor Paris apartment",0," Read the rest of this year’s shortlisted entries in the Observer/Anthony Burgess prizeIt can be said that lockdown has not been kind to fashion: last October the UK press reported that the country was facing a leisurewear shortage. When the French-Senegalese director and actor Mati Diop was approached early last year by the fashion house Miu Miu to make a short film for its Women’s Tales series, it posed a challenge. The brief for the series (which has run since 2011 and featured film-makers including Zoe Cassavettes, Chloë Sevigny and Lynne Ramsay) is straightforward enough: the film-makers must be women and can film whatever they choose, providing the film features Miu Miu clothing. The situation becomes more complicated during a pandemic: how exactly do you make a film – and one with fashion as a focus – amid the isolation, confinement and leisurewear of lockdown?In Diop’s 20-minute film In My Room, we are entirely confined to her small studio on the 24th floor of a tower block in Paris’s 13th arrondissement. The action, such as it is, takes place at the windows: Diop focuses her camera on her neighbours’ apartments and the sprawl of surrounding neighbourhoods. While the weather provides some drama (it rains, it shines, it thunders, the fog rolls in), we mostly see nothing much. It is compelling nonetheless, as Diop’s long-focus lens lingers intimately on a woman fussing over her curtains, or a man looking anxiously from cookbook to microwave. In one gloomy window, two silhouetted figures suddenly embrace and kiss passionately; in another, a man leans forward heavily and drags on a cigarette in the dark.It is not so much what we see, however, as what we hear that gives the film its power. “The only film I can imagine making now during confinement,” we watch Diop write in an email to Miu Miu, “is based on the recordings of my grandmother, Maji, that I registered a few months before she passed away. The recordings took place in … her Parisian apartment where she lived alone and confined for 20 years.” We hear, at first, the kind of stories we expect from an older relative as Maji talks about the war (“dead cats on the icy sidewalk”) and the consolation of film (“but there was cinema!”). The conversation turns to Maji’s soprano mother (Diop’s great-grandmother). “Did she sing La traviata?” asks Diop. “Bien sûr,” Maji responds. The prelude of La traviata begins to play and Maji’s voice slips hauntingly into the present. “Paris is the best city in the world for music and yet we can go nowhere. And we’re going to die. Isn’t that silly?”The casual (and very French) comment on mortality and absurdity delivered by Maji gives the film’s voyeuristic footage an uncomfortable poignancy – and this is nowhere more keenly felt than during the futile circuits we witness Diop and her neighbours make to and from the fridge. The first time Diop peers into the chill light she turns away empty-handed. One of her neighbours does exactly the same moments later. The next time Diop opens the fridge, she is wearing a pair of towering, incarnadine, high-heeled shoes: it is a witty and unexpected introduction of the Miu Miu clothes. We watch Diop crouch in front of the fridge in the scarlet heels and retrieve a bottle of wine and a Tupperware container. A corkscrew rattles off-camera: all dressed up and nowhere to go.The high-heeled raid on the fridge is one instance of the smart and sensitive way Diop incorporates fashion into her film: she makes the point that what people are wearing is just as significant as what they are not. When we see two sequined dresses blazing in the evening sun and hanging limply from a door, the empty and unworn clothes become a melancholy reminder of lives un-lived, postponed, diverted or cut short. “If … there had been no war,” Maji says at the beginning of the film, “I would have also tried to be an actress.”The final time we see Diop, she is wearing one of the dresses, and its diamantés flash like the night-time city lights on the other side of the window. The dress brings the outside inside: Diop throws her head back and lip-syncs to La traviata (it’s the bit where Violetta realises she loves Alfredo) and suddenly it doesn’t matter if Paris is the best city in the world for music (or, for that matter, fashion) and you can’t go out. It’s an irreverent and defiant scene, and captures the escapism dressing up can offer. But it only lasts a moment. The music stops abruptly and the film cuts to a curtain in the wind straining to get free as we hear Diop comforting a distressed Maji. “Come on,” she says in the film’s final words, “let’s go out.” Harry Strawson lives in London. His writing has appeared in the London Review of Books, Times Literary Supplement and Literary Review among others. He is news editor of Removals and Storage magazine"
